nit_proveedor,contacto,telefono,email,empresa,ciudad
900111,Carlos Perez,3005551122.0,carlos@coop.com,CoopCafe,Bogota
800222,Sin Contacto,3114445566.0,No Registra,Insumos Panaderos,Medellin
700333,Ana Rojas,,ana@prado.com,Lacteos El Prado,Cali
600444,Luis Gomez,3208889900.0,luis@sabana.com,Distribuidora Sabana,Chia
500555,Sin Contacto,3157778899.0,No Registra,Salsas y Especias,Bogota
400666,Marta Diaz,3001112233.0,marta@empaques.com,Empaques de Carton,Barranquilla
300777,Sin Contacto,,ventas@granos.com,Granos y Cereales,Bucaramanga
200888,Jorge Silva,3109998877.0,No Registra,Bebidas Refrescantes,Bogota
100999,Elena Castro,3204445566.0,elena@dulces.com,Dulces y Postres,Medellin
999000,Sin Contacto,3112223344.0,frutas@cali.com,Frutas Frescas,Cali
